Phishing URL,Phishing Sent,Reported Date,Type,Theme,Sender,Config/Key,Source,Analysis Link
hxxps://maxis-com-my[.]best/mypoint,240823 16:08,240823 16:13,Fake BTS,Maxis Rewards,n/a,n/a,https://x.com/funzool/status/1826895417071862187,n/a
hxxps://maxiscommyapp[.]lat/mypoint,240816 13:40,240816 14:13,Fake BTS,Maxis Rewards,n/a,n/a,https://x.com/srhlaaa26/status/1824328528336240955,n/a
hxxps://maxiscommyapp[.]lat/mypoint,240816 10:32,240816 10:42,Fake BTS,Maxis Rewards,n/a,n/a,https://x.com/Ionelyfans/status/1824275450061000752,n/a
hxxps://tnb-com-my[.]top/mytnb,n/a,240816 00:00,n/a,TNB Bill,n/a,n/a,https://www.facebook.com/TNBCareline/posts/%EF%B8%8F-amaran-sms-spoofing-menggunakan-nama-tnb-%EF%B8%8Fberwaspada-sekiranya-anda-menerima-n/903866848438544/,n/a
hxxps://lihi[.]cc/gRFsQ,240814 13:20,240814 13:42,n/a,Maxis Rewards,n/a,hxxps://maxisus[.]lol/my,https://x.com/tiger2408303677/status/1823596081940455911,https://linkunshorten.com/?url=https%3A%2F%2Flihi.cc%2FgRFsQ
hxxps://maxis-com-my[.]boats/mypoint,240809 11:30,240809 22:50,n/a,Maxis Rewards,n/a,n/a,https://x.com/IzzyWafi/status/1821922027986456594,n/a
hxxps://maxis-com-my[.]link/mypoint,240809 12:05,240809 16:23,Fake BTS,Maxis Rewards,n/a,n/a,https://x.com/dsaintx/status/1821824711275508028,n/a
hxxps://maxis-com-my[.]one/mypoint,240809 11:39,240809 16:23,Fake BTS,Maxis Rewards,n/a,n/a,https://x.com/dsaintx/status/1821824711275508028,n/a
hxxps://maxis-com-my[.]lat/mypoint,240807 11:14,240807 19:42,Fake BTS,Maxis Rewards,n/a,n/a,https://x.com/PersieRizz/status/1821149883463823686,n/a
hxxps://maxis-com-my[.]link/mypoint,240805 14:15,240805 14:38,Fake BTS,Maxis Rewards,n/a,n/a,https://x.com/TheNicciC/status/1820348527068996064,n/a
hxxps://pos-my[.]buzz/mypost,240726 09:37,240726 09:47,Fake BTS,Pos Malaysia,n/a,n/a,https://x.com/TheNicciC/status/1816651539790057816,n/a
hxxps://pos-my[.]co/mypost,240725 17:13,240726 09:47,Fake BTS,Pos Malaysia,n/a,n/a,https://x.com/TheNicciC/status/1816651539790057816,n/a
hxxps://maxiscom[.]top/mypoint,240722 16:56,240722 17:43,n/a,Maxis Rewards,n/a,n/a,https://x.com/TheNicciC/status/1815321663422247351,n/a
hxxps://maxiscommy[.]one/mypoint,240721 14:53,240721 17:46,Fake BTS,Maxis Rewards,n/a,n/a,https://x.com/Raven20976965/status/1814960101465497704,n/a
hxxps://uamerica[.]compuaulas[.]com/go/card[.]php,240709 13:29,240719 00:00,Phishing,MyGov Overpayment,n/a,n/a,https://www.mycert.org.my/portal/advisory?id=MA-1101.072024,n/a
hxxp://petronproject[.]com/,n/a,240715 00:00,n/a,Fake Petron,n/a,n/a,https://www.petron.com.my/cyber-protection/protect-yourself-from-scammers/,n/a
hxxps://petronscheme[.]com/,n/a,240715 00:00,n/a,Fake Petron,n/a,n/a,https://www.petron.com.my/cyber-protection/protect-yourself-from-scammers/,n/a
hxxps://maxis-com-my[.]online/mypoint,n/a,240713 22:16,n/a,Maxis Rewards,n/a,n/a,https://x.com/FizieJame/status/1812128877474656703,n/a
hxxps://posmyolab[.]ink/my,240625 19:23,240625 20:10,iMessage,Parcel,gilliantja8@gmail[.]com,n/a,https://x.com/knz_mp_/status/1805574368166314237,n/a
hxxps://bit[.]ly/3XoJnCu?HFw=6X25pfRXGp,240614 20:23,240615 10:47,RCS,Maxis Rewards,n/a,hxxps://s[.]maxisvip[.]cc/gob,https://x.com/wfr3104/status/1801808674421412065,https://www.virustotal.com/gui/url/8dd7fa3925d1ec0a460c63998f832a20f49f96b7d955f694220f5f60d89dd4df/details
hxxps://bit[.]ly/3xg6GUw,240612 11:49,240612 11:50,iMessage,Maxis Rewards,6fklc2wnpolinggina@gmail[.]com,hxxps://maxiszbw[.]top/my,https://x.com/wilsonyimby/status/1800737457379664169,https://www.virustotal.com/gui/url/1c29dd0534e3a1e0dfa4f67d98b566b6f0a2c0c59890eda3e4b37c083694f9f4/details
hxxps://vitropos[.]life/my,240531 14:42,240531 14:49,Fake BTS,Pos Malaysia,n/a,n/a,https://x.com/ikin4lyfer/status/1796433853030224081,n/a
hxxps://qrco[.]de/bf52dG?Uue=UekDAzYDFL,240521 14:21,240521 14:27,RCS,Maxis Rewards,n/a,n/a,https://x.com/MrMiie/status/1792804461175521289,n/a
hxxps://maxis-az[.]top/my,240517 16:27,240517 16:53,Whatsapp,Maxis Rewards,"""+234 901 970 7259""",n/a,https://x.com/SriHaleela/status/1791391477102485857,n/a
hxxps://is[.]gd/dhmBZK?Dgq=oJdsSePHOu,240416 17:20,240416 18:09,Smishing,J&T Express,n/a,hxxps://livposl[.]xyz/CtqgGM,https://x.com/faiyoke/status/1780176685280936079,n/a
hxxps://is[.]gd/N1eV93?zaY=oS9FN3KqBd,240415 14:29,240415 19:10,RCS,Parcel,n/a,n/a,https://x.com/zatbesi95/status/1779829737717997801,n/a
hxxps://maxis-com-my[.]cc/mypoint,240407 12:26,240407 20:40,n/a,Maxis Rewards,n/a,n/a,https://x.com/vernieman/status/1776953185384698026,n/a
hxxps://maxis-com-my[.]info/mypointclick,n/a,240406 16:08,n/a,Maxis Rewards,n/a,n/a,https://x.com/SharmineIshak/status/1776522250935832851,n/a
hxxps://tinyurl[.]com/y7auhcjm?vnU=7YLpezeOBW,240406 10:52,240406 13:43,Smishing,Parcel,n/a,hxxps://pos-me-my[.]top/cr?vnU=7YLpezeOBW,https://x.com/syawix/status/1776485942523781580,https://linkunshorten.com/?url=https%3A%2F%2Ftinyurl.com%2Fy7auhcjm%3FvnU%3D7YLpezeOBW
hxxps://tinyurl[.]com/dfp3nn3k?bxh=yTQqCDMBWH,240406 10:15,240406 10:20,RCS,Parcel,n/a,hxxps://postudl-dyt[.]icu/i?bxh=yTQqCDMBWH,https://x.com/hijau_kucing/status/1776434705069707724,https://linkunshorten.com/?url=https%3A%2F%2Ftinyurl.com%2Fdfp3nn3k%3Fbxh%3DyTQqCDMBWH
hxxps://maxis-ed[.]top/my?xnk=bCzWehyMZk,240405 18:05,240405 18:20,Smishing,Maxis Rewards,n/a,n/a,https://x.com/nektime_/status/1776193262174589370,n/a
hxxps://postlabsolutions[.]buzz/mypost,n/a,240405 08:41,n/a,Pos Malaysia,n/a,n/a,https://x.com/venshkri/status/1776047453722317194,n/a
hxxps://bcns[.]ai/IlrjFU,240404 14:25,240404 14:38,n/a,Maxis Rewards,n/a,maxismyday[.]xyz,https://x.com/marauderz/status/1754031622570336606,https://urlquery.net/report/da5b4453-03ae-4b81-864d-00591c86292a
hxxps://is[.]gd/Vk1YwF?YMX=4h71rTfhLP,240404 12:44,240404 12:48,RCS,Maxis Rewards,n/a,hxxps://maxlse[.]vip/gob,https://x.com/TheSoloRiderMY/status/1775747141597888722,https://linkunshorten.com/?url=https%3A%2F%2Fis.gd%2FVk1YwF%3FYMX%3D4h71rTfhLP
hxxps://qrco[.]de/bewPWM?zzA=RZ9QAeZJYK,240404 11:25,240404 11:31,Smishing,Maxis Rewards,n/a,n/a,https://x.com/SHLee76129543/status/1775727800978456720,n/a
is[.]gd/KQyeoM?EKd=Btuy6NE6Ue,240402 15:52,240403 10:45,RCS,Parcel,n/a,hxxps://posinstin[.]cfd/my,https://x.com/Aiman73564039/status/1775353876373553215,https://linkunshorten.com/?url=https%3A%2F%2Fis.gd%2FKQyeoM%3FEKd%3DBtuy6NE6Ue
hxxps://post-ricon[.]cc/mypost,240401 17:44,240401 18:41,Fake BTS,Pos Malaysia,68886,n/a,https://x.com/luxentX/status/1774748891495497806,n/a
hxxp://postdf-fjs[.]top/i,240331 17:13,240331 17:54,iMessage,Pos Malaysia,charlesmenqit@outlook[.]com,n/a,https://x.com/ohitsyh/status/1774374741136359853,n/a
hxxps://posttricon[.]site/mypost,240330 19:05,240330 21:18,n/a,Pos Malaysia,n/a,n/a,https://x.com/fairozeeeee/status/1774063574232846533,n/a
hxxps://posttricon[.]top/mypost,n/a,240328 14:28,n/a,Pos Malaysia,n/a,n/a,https://x.com/vernieman/status/1773235809618948596,n/a
hxxps://postrecruiting[.]top/mypost,240326 13:55,240327 11:35,n/a,Pos Malaysia,n/a,n/a,https://x.com/kawai_cheah/status/1772829716426453001,n/a
hxxps://post-my-app[.]xyz/mypost,240323 11:43,240323 14:07,Fake BTS,Pos Malaysia,68886,n/a,https://x.com/0cc935113bbc4b4/status/1771418428181815413,n/a
hxxps://pos-service-my[.]top/mypost,240322 17:36,240322 17:49,n/a,Pos Malaysia,n/a,n/a,https://x.com/bgonkhyun/status/1771111984865624281,n/a
hxxps://pos-service-my[.]top/mypost,240322 14:20,240322 16:01,Fake BTS,Pos Malaysia,68886,n/a,https://x.com/AdeeologyTweets/status/1771084744517910530,n/a
hxxps://posaop[.]top/i,240319 14:36,240319 17:52,iMessage,Pos Malaysia,josiahyttorres@hotmail[.]com,n/a,https://x.com/mentallyvain/status/1770025612604055885,n/a
hxxps://celcom-com-my[.]bar/mypoint,240318 10:28,240319 10:36,Fake BTS,Celcom Rewards,n/a,n/a,https://x.com/TheNicciC/status/1769915847789986060,n/a
hxxps://celcom-com-my[.]bar/mypoint,240318 13:37,240319 10:36,Fake BTS,Celcom Rewards,n/a,n/a,https://x.com/TheNicciC/status/1769915847789986060,n/a
hxxps://celcom-com-my[.]cc/mypoint,n/a,240319 10:36,Fake BTS,Celcom Rewards,n/a,n/a,https://x.com/TheNicciC/status/1769915847789986060,n/a
hxxps://celcom-com-my[.]site/mypoint,240318 17:38,240319 10:36,Fake BTS,Celcom Rewards,n/a,n/a,https://x.com/TheNicciC/status/1769915847789986060,n/a
hxxps://postpedia[.]click/mypost,240314 10:55,240315 14:31,Fake BTS,Pos Malaysia,68886,n/a,https://x.com/TheNicciC/status/1768525472420569543,n/a
hxxps://celcom-com-my[.]buzz/mypoint,240315 11:34,240315 11:38,Fake BTS,Celcom Rewards,n/a,n/a,https://x.com/whodisshamim/status/1768481809447424401,n/a
hxxps://ukr-postuo[.]top/ukrposhta,240313 16:47,240313 17:02,iMessage,Pos Malaysia,flyirl32@hotmail[.]com,n/a,https://x.com/eltheroo/status/1767838665634677212,n/a
hxxps://tradepostblog[.]buzz/mypost,240312 13:17,240312 13:52,n/a,Pos Malaysia,n/a,n/a,https://x.com/AddieBonjo/status/1767428480957034545,n/a
hxxps://tradepostblog24[.]online/mypost,240312 12:36,240312 12:39,n/a,Pos Malaysia,n/a,n/a,https://x.com/Jianina29/status/1767410109691650430,n/a
hxxps://posttechnologies[.]online/mypost,n/a,240311 18:33,n/a,Pos Malaysia,n/a,n/a,https://x.com/IbnuM77/status/1767136788504789021,n/a
hxxps://postconsulting[.]click/mypost,n/a,240310 21:43,Fake BTS,Pos Malaysia,68886,n/a,https://x.com/DeanOrDeen/status/1766822128899481854,n/a
hxxps://postconsulting[.]click/mypost,n/a,240310 11:23,n/a,Pos Malaysia,n/a,n/a,https://x.com/pxmpkin/status/1766666246806962602,n/a
hxxps://postcorp[.]lat/mypost,240309 17:14,240309 17:37,Fake BTS,Pos Malaysia,68886,n/a,https://x.com/yapxiang/status/1766397896369586650,n/a
hxxps://rebrand[.]ly/Pos21z,240309 14:07,240309 15:50,n/a,Pos Malaysia,n/a,hxxps://hhert[.]club/mypost/,https://x.com/alia_5895/status/1766370914722328716,https://www.virustotal.com/gui/url/c3116132c7bb32673d64fc701421600f5c1c6d482e49832d31fee5aeea7df2e9/details
hxxps://postconsulting[.]shop/mypost,240305 16:50,240305 17:16,Fake BTS,J&T Express,n/a,n/a,https://x.com/WRuwaida/status/1764942951233273886,n/a
hxxps://posmy[.]bcns[.]ai/jtexpress,240304 18:53,240304 20:41,Fake BTS,J&T Express,n/a,n/a,https://x.com/MuhdMuammar1998/status/1764632227508617320,n/a
hxxps://posmy[.]bcns[.]ai/jtexpress,240304 18:14,240304 18:20,Fake BTS,J&T Express,n/a,n/a,https://x.com/azrisaadon/status/1764596836034384222,n/a
hxxps://posmy[.]bcns[.]ai/update,240302 17:38,240303 13:47,n/a,Pos Malaysia,n/a,n/a,https://x.com/nura_z93/status/1764165596617576747,n/a
hxxps://shorturl[.]at/gCOUW?FJn=yWqVoum9Ui,n/a,240302 11:12,RCS,Pos Malaysia,n/a,n/a,https://x.com/KKfromnowhere/status/1763764412546977816,n/a
hxxps://points-shopping[.]buzz/mypoint,240301 11:56,240302 07:23,Fake BTS,Maxis Rewards,n/a,n/a,https://x.com/sophieanalis/status/1763706645144866820,n/a
hxxps://points-shopping[.]buzz/mypoint,240301 12:38,240301 13:16,Fake BTS,Maxis Rewards,n/a,n/a,https://x.com/steventsh/status/1763433101144015155,n/a
hxxp://tinyurl[.]com/43swnshx,240229 18:19,240229 18:32,Fake BTS,Maxis Rewards,n/a,hxxps://express-delivery[.]info/mypoint,https://x.com/steventsh/status/1763150327434588164,n/a
hxxp://tinyurl[.]com/4nbjbmtk?WqL=VHcHvrRoO7,240226 17:15,240226 17:18,RCS,Parcel,n/a,hxxps://posehomeexpressdelivery-my[.]top/9oE7kU?WqL=VHcHvrRoO7,https://x.com/haikalizz27/status/1762044481375998253,n/a
hxxps://rebrand[.]ly/kx5zvb8,n/a,240226 15:10,n/a,Pos Malaysia,n/a,hxxps://parcel24[.]info/mypost/,https://x.com/RockstarJay94/status/1762012302302449997,https://www.virustotal.com/gui/url/2fe0ff111f95ec4a3bc619f81e7a49aed089aae6ca87151ea28d651be4e4e6e8/details
hxxps://lihi[.]cc/Frqzz,240123 21:10,240224 15:42,Fake BTS,Parcel,61750,hxxps://pos[.]mazonvmxz[.]icu/my,https://x.com/keyrzk_/status/1761295413817282982,https://www.virustotal.com/gui/url/f691eead989cfbafb38c3035247a0d353d722bc020fe87e8274f16f210213427/details
hxxps://is[.]gd/p7RgPu,240222 17:38,240222 19:36,Fake BTS,Pos Malaysia,68886,hxxps://post-services-my[.]cc/mypost,https://x.com/funzool/status/1760629545848472004,https://www.virustotal.com/gui/url/201ec7c86638cc4e05f304e88c8bac2f145722cf62faa10cb018a39b3ff8dc96/details
hxxp://tinyurl[.]com/29u5uakz?Yoq=YixVfZjrPO,240222 11:06,240222 11:18,RCS,Pos Malaysia,n/a,hxxp://mypos4[.]top/my?Yoq=YixVfZjrPO,https://x.com/zatbesi95/status/1760504365926982087,n/a
hxxp://tinyurl[.]com/3xx2rdnn,240221 14:21,240221 14:24,iMessage,Pos Malaysia,stroopeneidaqi8486@gmail[.]com,n/a,https://x.com/aileenzainudin/status/1760188700389175477,n/a
hxxps://rebrand[.]ly/f3ka4e1,240220 12:44,240220 12:57,Fake BTS,Maxis Rewards,n/a,hxxps://points-exchange-my[.]info/mypoint/,https://x.com/faiz_djamil/status/1759804330096693604,https://www.virustotal.com/gui/url/3e9ef45bec95de2f7ac8695cb7433585fa894493c9a1ac50b7459f256fe3a445/details
hxxps://rebrand[.]ly/l4yt2bo,240219 13:07,240219 14:54,Fake BTS,Pos Malaysia,68886,n/a,https://x.com/callmebiebi/status/1759471443191161328,n/a
hxxps://is[.]gd/W5w4rn,240218 12:48,240218 13:21,Fake BTS,Pos Malaysia,68886,hxxps://postal-services-my[.]cc/mypost,https://x.com/obiwanfaiz/status/1759085795053601188,https://linkunshorten.com/?url=is.gd%2FW5w4rn
hxxps://is[.]gd/LegveM,n/a,240216 13:47,n/a,Pos Malaysia,n/a,hxxps://postal-service-my[.]info/mypost/,https://x.com/RockstarJay94/status/1758367549346210252,https://www.virustotal.com/gui/url/543a87903b8f168c0ebca75339ece5f931feb3593005264b221a43527de73b2f/details
hxxps://bcns[.]ai/IlrjFU,240205 10:38,240205 10:43,Fake BTS,Maxis Rewards,n/a,maxismyday[.]xyz,https://x.com/munchiesfluff/status/1754334989699940779,https://urlquery.net/report/da5b4453-03ae-4b81-864d-00591c86292a
hxxps://bcns[.]ai/IlrjFU,240204 19:39,240204 19:51,Fake BTS,Maxis Rewards,n/a,maxismyday[.]xyz,https://x.com/nikderi/status/1754110468862726362,https://urlquery.net/report/da5b4453-03ae-4b81-864d-00591c86292a
hxxps://bcns[.]ai/IlrjFU,240203 15:43,240203 22:58,Fake BTS,Maxis Rewards,n/a,maxismyday[.]xyz,https://x.com/suzuki1412/status/1753795188491964756,https://urlquery.net/report/da5b4453-03ae-4b81-864d-00591c86292a
hxxps://bcns[.]ai/DX8eY2,n/a,240201 16:21,Fake BTS,Maxis Rewards,n/a,n/a,https://x.com/RsydHkm/status/1752970446662938856,n/a
hxxps://bcns[.]ai/IlrjFU,240201 16:11,240201 16:21,Fake BTS,Maxis Rewards,n/a,maxismyday[.]xyz,https://x.com/RsydHkm/status/1752970446662938856,https://urlquery.net/report/da5b4453-03ae-4b81-864d-00591c86292a
hxxps://bcns[.]ai/QY89p0,n/a,240201 14:15,Fake BTS,Maxis Rewards,n/a,hxxps://maxismy[.]life/points,https://x.com/amirxjacobbb/status/1752938637900362165,https://www.virustotal.com/gui/url/f5a36831fcfb90563dc082968242ddbee1755b752490066ddbdafeeaac615454/details
hxxps://post6my[.]top/my,240121 16:18,240131 19:54,iMessage,Parcel,wzradxi5yzhr0@icloud[.]com,n/a,https://x.com/amarahbangjoe/status/1752661705065370106,n/a
hxxps://bcns[.]ai/DX8eY2,240127 17:53,240131 13:37,Fake BTS,Maxis Rewards,n/a,n/a,https://x.com/alan_tanh/status/1752566630415262026,n/a
hxxps://bcns[.]ai/QY89p0,240126 13:30,240131 13:37,Fake BTS,Maxis Rewards,n/a,hxxps://maxismy[.]life/points,https://x.com/alan_tanh/status/1752566630415262026,https://www.virustotal.com/gui/url/f5a36831fcfb90563dc082968242ddbee1755b752490066ddbdafeeaac615454/details
hxxp://tinyurl[.]com/dgskghkbvy?sTO=fq5Vab1M37,240126 15:20,240131 12:45,RCS,Pos Malaysia,n/a,hxxps://posmybbo[.]live/unOLox?sTO=fq5Vab1M37,https://x.com/zarazizan/status/1752553677494346025,n/a
hxxps://lihi[.]cc/y3XpP,240124 17:17,240131 11:57,Fake BTS,Pos Malaysia,61750,hxxps://post-aa[.]life/my,https://x.com/acelapiz/status/1752539069601788267,n/a
hxxp://tinyurl[.]com/ger2mypost?XkZ=H8oH6QP4My,240124 15:52,240131 11:53,Smishing,Parcel,n/a,hxxp://mypos5[.]vip/k?XkZ=H8oH6QP4My,https://x.com/cruxidex/status/1752540469140328918,n/a
hxxp://post-myoi[.]icu/k,240130 13:23,240130 16:35,iMessage,Pos Malaysia,n/a,n/a,https://x.com/LOLsusaho/status/1752249228968259678,n/a
hxxps://rb[.]gy/tizfqt,n/a,240128 21:43,Fake BTS,Pos Malaysia,68886,hxxps://poscom[.]top/POSMY,https://x.com/kreees/status/1751601867220783228,https://linkunshorten.com/?url=https%3A%2F%2Frb.gy%2Ftizfqt
hxxps://lihi[.]cc/bAZ29,240127 15:52,240127 16:28,Fake BTS,Pos Malaysia,n/a,n/a,https://x.com/davin_x/status/1751160295261904904,n/a
hxxps://bcns[.]ai/QY89p0,240126 16:17,240126 20:35,n/a,Maxis Rewards,n/a,hxxps://maxismy[.]life/points,https://x.com/ayashares/status/1750860076410421632,https://www.virustotal.com/gui/url/f5a36831fcfb90563dc082968242ddbee1755b752490066ddbdafeeaac615454/details
